Title,Review,Rating,Have assessablity Issue,Assessability Issue Type
Still Saying â€œUpdateâ€ after Update,"I recently updated my app, my iPhone 6, deleted the app to redownload it &itâ€™s STILL telling me that I have to â€œupdate to the 3.0 versionâ€ of the app . Please Help?!",4,Yes,UI Accessibility Issues (UI)
;(,"Am I the only person unable to log in now? It just pops up on my screen that I need to update to 3.0.0, but the app is up to date!",4,Yes,UI Accessibility Issues (UI)
Super convenient,Iâ€™ve been using this app off and on for about 2 years. Itâ€™s convenient and works well 95% of the time.,4,No,Non-Accessibility Issues (NO)
Confused,Keeps saying the app needs to be updated although it already has .,4,Yes,UI Accessibility Issues (UI)
Price,Itâ€™s expensive but have had no problems with the service,4,No,Non-Accessibility Issues (NO)
Update fixed,Thanks for fixing the update! Iâ€™m able to log in now :),4,No,Non-Accessibility Issues (NO)
Update problems,"Itâ€™s not letting me update it and being as though I canâ€™t update it itâ€™s not letting me get on to write nobody 
 Please help",4,Yes,UI Accessibility Issues (UI)
Works great!,Everything that wasn't working now works! Very nice set up,4,No,Non-Accessibility Issues (NO)
Mad,It wonâ€™t let Me update An app,4,Yes,UI Accessibility Issues (UI)
It,Not letting me update,4,Yes,UI Accessibility Issues (UI)
Amazing!!,"I have not had one problem with this app. The app works great some times the facility is not so responsive to issues, but the people here are very knowledgeable and when I call in regarding any concerns or questions they actually know the answer and give an explanation as to what is going on. My person inside had no idea about the trust fund account and no one around him did either
 so much easier than a check that I can never get written correctly by the bank to where the facility will accept 
 it this is a awesomeapp keep up the great work thank you so much for making my life easier you are appreciated!!",5,No,Non-Accessibility Issues (NO)
Love the ease!,Makes it so easy to ensure my son has his funds quickly. Never a delay. I used to have to go in person until I started using this gem.,5,No,Non-Accessibility Issues (NO)
Help,It wonâ€™t let me create a account bc when I go to put state in my screen goes black ðŸ¥º,5,Yes,UI Accessibility Issues (UI)
This app is amazing,Iam very thankful for this app bc without it I wouldnâ€™t be able to speak with my loved one,5,No,Non-Accessibility Issues (NO)
Love it,When will they be adding the two way messaging for Belmont correction in ohio?,5,No,Non-Accessibility Issues (NO)
I love it,I like it I can stay in contact with my brother best thing ever!ðŸ¥°,5,No,Non-Accessibility Issues (NO)
great app,iâ€™ve been using this app to stay in contact with my dad. you guys donâ€™t understand itâ€™s not the app that takes forever itâ€™s the prison system itself. this is a great app.,5,No,Non-Accessibility Issues (NO)
love this app,stamps are super low cost and very easy to talk to my inmate!,5,No,Non-Accessibility Issues (NO)
AMAZING!!!! From the bottom to the top!!,This app is great especially for the inmates!! And families and friends ... I have been home for a few months but I still am able to contact my friends ... itâ€™s no greater feeling for your loved one if they are inside because a pictures worth a thousand words... plus you can send money for commissary instantly which becomes necessity!! So if your thinking oh Iâ€™ll just drive waste gas to keep putting money on the books itâ€™s gonna cost way more than $5 to do so!!! And emails are like 30 cents!!ðŸ˜˜,5,No,Non-Accessibility Issues (NO)
Glitchy,Somewhat glitchy. Wonâ€™t let you sign back in once you sign out. No matter how many times you enter the correct password. Speaking from my own experience and someone elseâ€™s. Needs updates and bug fixes,5,Yes,UI Accessibility Issues (UI)
Ugh,Just downloaded the app and have been trying to use it for 2 days now.. I open it and it tells me I have to update to the 3.0.0 version but when I go to my App Store there is no update available so idk what itâ€™s doing. So upset!ðŸ™„,5,Yes,UI Accessibility Issues (UI)
Good Job,"I love this app itâ€™s so convenient, I donâ€™t have no issues with my payment or my card . It goes straight on and be ready to use. Finally a great app that works great . Hope I can use it for my video visits.",5,No,Non-Accessibility Issues (NO)
Itâ€™s handy,I love the fact that I can talk to my inmates through this rather then having to go buy stamps and envelopes and remember to send the letter out and I also love the fact I can request my inmate to call me,5,No,Non-Accessibility Issues (NO)
Update,"It was an amazing app before I did the update today, but now I canâ€™t even see my messages because the update notification wonâ€™t go away.",5,Yes,UI Accessibility Issues (UI)
App's Great,"It work great for me & love the new messaging feature to state prisons, just wish notifications could pop up when inmates email you back, but overall the App Is Great",5,No,Non-Accessibility Issues (NO)
Exceptional QA Test Response,"As a QA professional, the quick response to the 3.0 bug fixes were quick, clean, and effective. Keeping the customer experience in focus and your top priority. Thank You",5,No,Non-Accessibility Issues (NO)
Trouble shoot the system,How come it says upgrade the app and when I attempt to do so it wonâ€™t let me do it and Iâ€™m not able to access the app???,5,Yes,UI Accessibility Issues (UI)
Been using this for years,I love it. I can send money and messages all in the same app. Itâ€™s very convenient 5 stars from me,5,No,Non-Accessibility Issues (NO)
Update?,It says it can be updated but it wonâ€™t let me update and I have to put money on my phoneðŸ™„,5,Yes,UI Accessibility Issues (UI)
The app is not acting right,"I always had a good experience with the app, now I can not update the app please help?",5,Yes,UI Accessibility Issues (UI)
Mrs.,Very upset right now because itâ€™s not letting me update so now itâ€™s not letting me use it,5,Yes,UI Accessibility Issues (UI)
New update,The newest update wonâ€™t let me open the app,5,Yes,UI Accessibility Issues (UI)
Johanna,Why my app ainâ€™t working well I try email my love one,5,Yes,UI Accessibility Issues (UI)
3.0.0,How do I get the new update?,5,No,Non-Accessibility Issues (NO)
DO NOT USE THIS APP!!!,"I wish there was a rating for zero. This app need to be reported and investigated. Iâ€™m a truck driver and also a full time online student. I met my son to pickup my check along delivering a load bc I will not be home for about 2mos from now. The online school only distribute paper checks for financial aid. My online banking did not approve the check so I downloaded this app. The app ask for all my info including my ss# just to decline my check and also locked me out of my account. Iâ€™ve tried calling several times. Either I was hung up on when suppose to get transferred to another representative or just put on hold until the phone hung up on its on. I was on break in my truck at a truck stop and found one of the banks nearby. Thank goodness I was able to Uber to the bank that my school deal with and got my check cashed with no problem. 
 PLEASE DO NOT USE THIS APP!!! I TRULY BELIEVE ITS A SCAM!!!",1,No,Non-Accessibility Issues (NO)
Scam!!!?,"I used this for the first time and after I cashed my check it was being reviewed. Then my account disabled. I tried to call them but couldnâ€™t even understand anyone that I spoke to. I spoke to a guy at first, we could not understand each other so he said someone will call me back in 5 minutes. then a female called me back it was hard understanding her also. She kept asking for my ssn and I asked is there anything else they could use besides my ssn. I asked her to cancel my order and my account she kept asking me for my ssn so I just hung up. She called me back about 10 times before I answered. I screamed through the phone please just cancel my account and my check. She said ok. Now I tried cashing my check somewhere else and it will not go through.. this company is a scam and should be shut down. I am very upset because I had to pay my rent that I am behind on! This is a disgrace!",1,No,Non-Accessibility Issues (NO)
DONâ€™T USE THIS APP,Well as of today I signed up for this app with all of my information including the last 4 of my SSN I uploaded a check of mine and when I did not to long of the checking in review they lock me out of the account so I call them and the first guy I spoke to wasnâ€™t very specific on anything just by telling me the check was cashed and I said thatâ€™s impossible because I uploaded the back of the check with my signature and Iâ€™d and when all said he then hung up on me then I call back the 2nd time and he hangs up on me again so I call back the 3rd time spoke to someone else and this guy wants to verify my information so I provide it to me and regarding my check he tells me itâ€™s a bad check which itâ€™s not they are SCAMMING PEOPLE DO GO WITH THIS APP BECAUSE IN ALL REALITY THEY DO NEED TO BE INVESTIGATED AND SHUT DOWN.,1,No,Non-Accessibility Issues (NO)
Phishing Company (scam) Do not use,"This company, if it even is real is just scumming and phishing for information. My account was disabled immediately after I set it up. I contact support and the guy didnâ€™t know anything. I had a very strange feeling after talking to him. I called back later in the day (same issue) a lady, I assume itâ€™s the guys wife started asking the answer to my security question, when I answered I was told I was incorrect and what another answer. I asked when the account was opened because i did not recognize the question being asked. I was told they could not look at my account without answer personal questions from my credit report. Either the are phishing for information or...nope there is no either. Itâ€™s a scam to steal peopleâ€™s identity. Donâ€™t download.",1,No,Non-Accessibility Issues (NO)
This has to be a scam or something,My account got disable for no reason and I call there â€œcustomer services which nobody answered a few times and when I finally got someone they couldnâ€™t even help me reset my account something is off about this. Then I email there customer service and they took 5 days to reply back the first time then the second time they did reply back at and it been 14 days what company take almost 21 days to email back there customers yeah donâ€™t download this itâ€™s something every wrong with this. Either this is a scam or they need better waaaaaay better service !!!,1,No,Non-Accessibility Issues (NO)
Is this real,Is this a legitimate app because I gave them all my info for them to say it was a problem with verification and give me a number to call that rings 2 times and says no voicemail. I visit website to find another number and some guy answers sounds like heâ€™s in a sweat shop music blasting unbelievable I am for sure contacting bbb tomorrow.,1,No,Non-Accessibility Issues (NO)
Not worth the hassle,Went through the entire process to cash my check since I didnâ€™t want to go out during this pandemic. They promoted me al the way to the final step where it had me wringing â€œVOIDâ€ across the checkðŸ¤¦ðŸ¾â€â™€ï¸ now suddenly they are experiencing technical difficulties and canâ€™t process my check. Of course no one is going to accept it now with void on it. Donâ€™t waste your time!!!,1,Yes,
Now known as just â€œStoreâ€,"Downloaded this app because it doesnâ€™t use Ingo only to find out that the check cashing feature isnâ€™t available. 
 How can you be called The CHECK CASHING Store when there is no check cashing? Just change your name to Store and be done with it or offer what youâ€™re supposed to offer.",1,Yes,Navigation and Interaction Problems (NAV)
SCAM!,This app is a scam. As soon as I uploaded my check and all of my personal information they disabled my account. The number they have listed for customer service does not work it just says leaves message and they never return the call . This app just fished for information and should be banned from the App Store z,1,Yes,UI Accessibility Issues (UI)
SCAM!!!,"Downloaded the app and thought it was legit. As soon as I took a picture of the check and answered a few questions, it logged me out and told me that the account was disabled! I tried to call but no one was answering and the automated system kept taking me in a loop. This is definitely a scam! This app needs to be down!!!!!!!!",1,Yes,UI Accessibility Issues (UI)
Bad Customer Service,If you have any issues with the app you are pretty much screwed getting help. The â€œcustomer serviceâ€ is a joke. Donâ€™t even bother with this app until they stop using some call center that has no idea what they are doing or how to help the people that are calling in.,1,Yes,Navigation and Interaction Problems (NAV)
Check cashing service,I am unable to cash any checks with this service all I get is were having technical issues with your request and the same goes for logging in to my account. This is broken by design so donâ€™t use this service unless you like the frustration that comes along with it.,1,Yes,UI Accessibility Issues (UI)
Scam,This app takes all your personal information and waits until you try to cash a check. Once they have all that youâ€™re locked out and told to call a customer service which nobody answers,1,Yes,UI Accessibility Issues (UI)
Donâ€™t ever use again,The customer service on Email is bad they where telling me that they see lots of people names that has my phone number and thatâ€™s not true they wouldnâ€™t give me the names so I had them close my account never ever going to trust those things ever again.,1,No,Non-Accessibility Issues (NO)
DO NOT USE THIS APP,They accept your check and then tell you to write and send a photo of your check with VOID written on it and once you do the app then tells you theyâ€™re having technical difficulties and canâ€™t cash your check and youâ€™re stuck with an uncashed check that says VOID on it.,1,No,Non-Accessibility Issues (NO)
"If scammed,then follows law suit",Soon as I put down my last bit of information personal information it just said my account got closed so Iâ€™m waiting to be scam so I can follow a lawsuit and have the application store committee pursue a investigation,1,No,Non-Accessibility Issues (NO)
"Another Scam, just like IngoMoney!",they dont work; your account WILL get disabled after you submit the images for your check. no live phone support,1,No,Non-Accessibility Issues (NO)
Horrible!,If I could put no stars I would! The service is terrible as well as the app. How can you tell me my own registered phone number canâ€™t be used?! And that you canâ€™t help me fix the issue with YOUR app. Just no.,1,No,Non-Accessibility Issues (NO)
Scam,Cashed my check & few minutes later my account disables. I called too see why that happened & he never answered my question. My money never came on my card.,1,No,Non-Accessibility Issues (NO)
Useless,The app is basically a browser that goes on your website and nothing more. It never stays signed in or the app crashes.,1,Yes,UI Accessibility Issues (UI)
Scam,They steal your personal info then tell you. You canâ€™t use their mobile deposit system.,1,No,Non-Accessibility Issues (NO)
Total Crap,I had a similar experience as the other reviewer and I completely agree this site Shiite shut down!!,1,No,Non-Accessibility Issues (NO)
Scam,Do not download. .. wish I would read the comments,1,No,Non-Accessibility Issues (NO)
Scam Fraud,"Do not use this App, If you do it's at you're own risk. To all the other people who have used this App and you've been scamed or had a problem when trying to cash your check. Please people go to the bottom of the screen directly before where it shows other Apps by this Group. Directly above those Apps there is a place that says Report Problem, it will take you Directly to Apple and you have the option to Report what type of problem Hit Scam/Fraud. Then it gives you a place to write your problem that you encountered with this App and if you tried calling to get help and had no luck because you keep being transferred like you were playing on a Merry Go Round and no-one would answer your questions and would keep saying you did not have an account with them. Even though you know that you actually really did sign up with all your confidential personal information and created your account with this App. The Company or Person responsible for this App needs to be held accountable for their actions for all the people who downloaded this App and trusted that giving their personal confidential information to create an account to be able to cash checks and do what the App says it does but instead this App is getting access to our personal confidential information and information about checks and the amounts of the check the company who issued the check end the Bank associated with the Check the account number and routing number and all of our confidential personal information to go with the check trying to be cashed. We become there Valuable Prey as they have everything they need to basically take our Identity, to have access to pretty much everything in our name. They could drain our Bank Checking, Saving, Accounts, Credit, Debit, Cards Information go on shopping spree. They could be using a fake address, providing fake Information moving around place to place. If they are smart enough to create this App, Approoved to get it authorization to be allowed on Apple's App Store and Google's Play Store who else knows where. Then what's to say that they are as well, Smart enough to take our Personal Confidential Information to Commit Fraudulent Charge's, Unauthorized Activity with our Personal Confidential Information to use to Apply for Personal, or Bussiness Loans, Apply for multiple high limit access Credit Cards, Buy things using Financing, Etc Then we could be caught up in an awful Legal Battle situation that could take years to try to get our Money Back, our Credit Limit Back, our Credit Scores Fixed, Claim Identity Theft, and Fraud, Which could take's year's some time's to get Fixed. In the Possibility of 1. Of Our Worst Case Cenarios, It Could Lead to Us being Put into the Situation where We would have to Spend a Large Amount of Money to Get a Bankruptcy Lawyer to File Joint Bankruptcy if Married. Also we would have to Hire an Identity Theft Lawyer To Clean Up and Wipe Off All the Thing's That Were Done In Our Name, That Was Not Actually Done By Us. If Single there are So Many Different Situations that Could Put Certain of Us in an Even Worse Situation,. Because we could not Financially Afford To Hire A Lawyer To Help Clean Thing's Up. Then Certain of Us in a Place Where We Would be In a Different Situation Where We Were Able to Financialy Able To Afford to Hire a Bankruptcy Lawyer, and Identity Theft Team.",1,No,Non-Accessibility Issues (NO)
Donâ€™t bother trying,"It will make u create a account 
 And ask for all of ur personal info 
 And then deactivate ur account and say to call a number,
 
 But by all means go ahead and waste ur time 
 Ur better off going to the store to cash it",1,No,Non-Accessibility Issues (NO)
wont let me create an account,"keeps saying passwords needs this and that, and i do as asked and still get same notification",1,Yes,Input and Control Issues (INPUT)
Bad,If youre reading this youre in the right place. Do Not Download This APP! Just Do Not.,1,No,Non-Accessibility Issues (NO)
Identity theft and money thieves !!!!!,Zero rating for this app.? They steal identity and deny checks anyways.,1,No,Non-Accessibility Issues (NO)
Scam mfs,Scam mfs donâ€™t waste your time with these dummyâ€™s,1,No,Non-Accessibility Issues (NO)
SCAM,FREEZE YOUR ACCOUNTS! DO NOT PUT ANY OF YOUR INFORMATION! ABSOLUTE SCAM,1,No,Non-Accessibility Issues (NO)
SCAM SCAM SCAM,DO NOT USE THIS APP PL READ REVIEWS BECAUSE I DIDNT AT FIRSTâ€¦.. DO NOT USE,1,No,Non-Accessibility Issues (NO)
Only use if you want to wait 3 days to cash check.,The process to authorize my check took nearly 8 hours. After wondering why no funds have shown up in my bank account after everything checked out I decided to give them a call. They told me it takes up to 72 hours for the check to post to my account. It's been nearly 24 hours now and still the funds have not shown up. If u want to pay someone 10% to cash a check at hold onto it for a couple days then this is the app for you. I WOULD NOT RECOMMEND!!!!,1,Yes,UI Accessibility Issues (UI)
Do not download this app,"I was thinking I could take a picture of a check. Company said not doing online anymore. Now they have my information and I ask to delete the account. They said donâ€™t worry about it. 
 Today is 6/26/23 if anything of mine gets hacked you can rest assured itâ€™s related to this app provider.",1,No,Non-Accessibility Issues (NO)
I DO NOT RECOMMEND!!,"I got a check for my refund and my bank only does automatic deposits and mine needed to verified and they donâ€™t have authorization to do manual checks so I tried this app and after asking for ALL of my info, it rejected my check and also disabled my entire account. After calling the toll free number online it only gave two prompts and neither worked. I found a headquarters number online & agent 1 xferred me back into the system, second agent put me hold and when u he came back to the phone his phone was breaking up so I couldnâ€™t hear him, another agent had me on hold and the phone hung up and the last agent told me there was no account but how can my account be disabled without there being an account in the first place. Definitely seems like a SCAM. No one I spoke to could give me any verification on my info and it was lil confusing but if ur going to definitely enter at your own risk smh 3/22/22",1,No,Non-Accessibility Issues (NO)
Scam,I trying to cash my son ssa check for him and they lock me out n tried to call them many times I pray my son can cash his check at the bank n cancel my card they want all ur information donâ€™t use this app and had to add a star to send this message plz read before u use this,1,No,Non-Accessibility Issues (NO)
Fraud,Complete Fraud operating as a front for child rapists. Stole 15000$ from me.,1,No,Non-Accessibility Issues (NO)
SCAM,F**K THESE MF SCAAAAAM,1,No,Non-Accessibility Issues (NO)
Should be any age friendly,"The concept of the app is great, although i am 17 y.o and have a job and would like to be able to deposit my checks on the go and yhe app requires you to be 18+",2,Yes,Input and Control Issues (INPUT)
Question,Can you use any visa or has to be momentum,2,No,Non-Accessibility Issues (NO)
Idea is good. Execution not so much,The concept of this app is great for people who don't live in the same city as their bank. App does take an unacceptable amount of time to review information & execute deposit,3,Yes,UI Accessibility Issues (UI)
Alsome,You could check up on all transactions you've done tells you how much your balance is its just perfect I love the check cashing store â¤ï¸â¤ï¸,4,No,Non-Accessibility Issues (NO)
Really Great App!,"Because Ingo likes to block accounts for no reason, Iâ€™ve had to substitute my check cashing needs and this app is great! They are very proficient, you understand whatâ€™s going on and what they need, and itâ€™s quick! If itâ€™s having technical issues, that happens, just reach out to them. I had none and I will continue to use them!",5,Yes,UI Accessibility Issues (UI)
Fast & Easy,Fast and easy solution to cashing checks on the go!,5,Yes,UI Accessibility Issues (UI)
Loaded my own debit card ðŸ‘,Very helpful as a small business owner,5,No,Non-Accessibility Issues (NO)
Awesome! They donâ€™t use INGO!,"When INGO closed my account for no reason I looked for a alternative method for cashing my check. I havenâ€™t even tried to cash a check with Ingo for about 6 years so they had absolutely zero reasons for making it seem like something shady was going on. I get direct deposit normally but for some reason the company I work for decides to send me a check in the amount of $12.64 and Ingo has a problem with this? Wow, I used to cash my checks 6 years ago all the time with no issues.
 
 I did a google search on check cashing apps that do not use Ingo. This was the first listed so I tried it out and I am so happy I did. I made a account quickly and I was able to link my chime debit card and chime bank account with zero issues. I proceeded to cash my check. They ask for a picture of the front and back of the check, which was very easy to take, again with zero issue. Next, they ask you to confirm you identity by answering a few questions, adding you ss #, and taking a picture of your drivers license. After that the check was pending approval.
 
 Shortly after I received a phone call from ft. Lauderdale fl. The representative was very polite and asked me if I would please write on the back of the check â€œfor mobile deposit onlyâ€ and take another picture of the check with my license on top of it. After I did that a few minutes later I was prompted to take one more picture of the front of the check saying void. Once that was finished in about 15 minutes the money was in my account. The fee was 35 cents which I thought was very reasonable. Overall I am 100% satisfied using this app. I found the check cashing process very fast and very easy. I highly recommend this app, especially if you are having issues cashing checks with Ingo.",5,No,Non-Accessibility Issues (NO)
Hurt credit,"Started off decent as a credit card, with no credit check impact. Originally did help build credit but after they changed to a trade-line only account they eventually closed my account due to me not wanting to pay monthly just to report an â€œavailable balanceâ€ of $1,000. Ended up doing the opposite for my credit when they closed the account.",2,No,Non-Accessibility Issues (NO)
â Tomo AI is the future,"Iâ€™ve tried several credit monitoring apps, but Credit Karma stands out as the most cá»mprehensive and user-friendly option. The appâ€™s dashboard provides a clear overview of my credit scores, reports, and personalized recá»mmendations, making it easy to track my financial progress. What I appreciate most about Credit Karma is its educational resources, which have significantly improved my understanding of credit and financial management. The appâ€™s credit score simulator is another standout feature, allowing me to simulate different scenarios and understand how they affect my creditworthiness; Credit Karma has been instrumental in helping me achieve my financial goals.",5,Yes,UI Accessibility Issues (UI)
Boom!,"The updated Tomo app has made financial tracking a breeze, a significant relief from the confusion and inefficiencies of the previous version. I canâ€™t imagine going back to the old design now; considering how seamlessly I can monitor my spending, set savings goals, and track my progress. The user-friendly interface and improved functionality have transformed my financial management experience for the better, eliminating the frustrations I once had with the appâ€™s outdated features.",5,Yes,UI Accessibility Issues (UI)
Absolute scam.,I donâ€™t have a card. Iâ€™ve never had any reports made to any bureaus. Thereâ€™s no option available to cancel and absolutely no customer service to get ahold of. Iâ€™ve sent emails and everything only to have no luck in reaching an actual human being that can help provide a resolution. Yet they have no issue trying to charge me repeatedly. Worst and by far the most shady company Iâ€™ve ever dealt with. There are soooo much better companies out there that actually provide the services that this fraudulent company pretends to provide. Donâ€™t make the same mistake a lot of us have already made. I wouldnâ€™t even rate this one star if I wasnâ€™t forced to.,1,No,Non-Accessibility Issues (NO)
To the moon and beyond,"Tomo has nailed it with their new design, addressing several pain points I encountered in the previous version. The streamlined interface and enhanced usability have simplified my financial routines immensely. From setting savings goals to monitoring my daily expenses, everything feels more intuitive and accessible, unlike the frustration I experienced with the old designâ€™s cá»mplexity and lack of user-friendly features.",5,Yes,UI Accessibility Issues (UI)
DO NOT USE!!! Itâ€™s a SCAM!!!,"I signed up, and it didnâ€™t even help with credit building. They have no phone number to call customer service! They always say â€œweâ€™re not accepting calls at this time.â€ And on top of that they keep sending me emails to â€œupdate my billing infoâ€ for the subscription, AFTER I have emailed them over 5 times to request cancelling my subscription, and for someone to call me. My emails have been ignored and never responded to with no call back. The icing on the cake my credit has gone down due to them not closing my account. Iâ€™m reporting them immediately! It is despicable what kind of company this is.",1,No,Non-Accessibility Issues (NO)
Tomo Rocks!,I needed a card to help me boost my credit. After getting turned down by so many card companies I was feeling hopeless. A colleague referred me Tomo. It was so easy and straightforward. Iâ€™m not sure why more people donâ€™t care for this company but they helped me build my credit and cover cash flow in the meantime. Iâ€™m very satisfied and will refer anyone looking to do the same.,5,No,Non-Accessibility Issues (NO)
Fraud Fraud fraud.,"TOMO WILL KIT ALLOW YOU TI CANCEL YOUR MEMBERSHIP. THIS AI THEFT AND FRAUD. THEY HAVE THE WORST SUPPOT. THEY HAVE NO ADEQUATE SUPPORT TEAM. ITS ALL AI NO HUMANS. FALSE ADVERTISEMENT. THEY DINT TELL YOU THE TRUTH ABOUT THE SERVICE UNTIL YOU HAVE BECAME A MEMBER. I NEVER NEEDED OR WANT THE TYPE OF SERVICE THEY PROVIDE. WHEN I SEEN WHAT THEY ACTUALLY DO, Iâ€™ve been trying since May to cancel my membership. The same exact day I signed up Iâ€™ve been trying to cancel. Tomo has not assisted me in canceling and receiving a refund. The worst App company out San Francisco. Worst app. Does not help credit. The do not actually report to any credit company. They just take your money. Thee worst. They have not help me at All. With credit or cancellation of membership. Seeking legal help now.",1,Yes,UI Accessibility Issues (UI)
Tomo will never respond to your inquiries!,I have attempted to contact Tomo for almost 6 months with a request to close my account. I only receive automated generic responses. I have not received any support from a real person at Tomo since first attempting contact. My account still remains open and they still attempt to charge my bank account for service fees. I have a long list of outbound emails that prove my efforts to contact Tomo with absolutely no response or action from their staff. Do not download this app.,1,No,Non-Accessibility Issues (NO)
Complete Scam,"I signed up for this and my bank isnâ€™t supported by whatever system they use, I also didnâ€™t see any way to access the 1:1 assistance as advertised even though I shelled out for the VIP package. The â€œ$30,000â€ credit reporting is misrepresented as well btw, and Iâ€™ve tried multiple attempts to contact support over this with zero response AND have seen no way I can cancel it. Iâ€™m going to have to report them as fraud to stop the billing and intend on reporting them to BBB. DO NOT USE!",1,No,Non-Accessibility Issues (NO)
What a breath of fresh air.,Iâ€™ve been putting my people on to Tomo since last year and theyâ€™ve all had positive experiences. Itâ€™s a reliable option for those looking to build credit responsibly. Wouldn't know what I would do with out. ðŸ™ðŸ»,5,No,Non-Accessibility Issues (NO)
Scam - They Do Nothing,"I bought a premium 12 month boost in January 2024 and after almost 5 months, they still failed to report a limit on my credit report. They refused to offer a refund and they refused to correct the problem after I reached out 7 times via email. I had to reach out via email by the way instead of Phone because they donâ€™t have an active phone number! Beyond shady practices, please donâ€™t waste your time or money.",1,No,Non-Accessibility Issues (NO)
Fraud!,Guys if you consider this one as credit rebuild app donâ€™t do it. They are scamming people via monthly report but they never report anything to any bureaus. And they wonâ€™t cancel your subscription because itâ€™s through email and they will just asked do not cancel it. I have tried 5 times already and they wonâ€™t cancel. Stay away from this app and those robbers. 6 months and 0 reports to any bureau. Iâ€™m dumb to use them. Donâ€™t be dumb like me.,1,No,Non-Accessibility Issues (NO)
SCAM,"I signed up for an account at the end of may, I paid for the subscription, when it wouldnâ€™t work I reached out to them with no response. Luckily the card it was linked to is a bank account that I closed not long after. Recently I have been receiving texts saying that my account will be terminated and â€œclosing a line of creditâ€ can negatively impact my credit score when they didnâ€™t even give me a line of credit. PLEASE DO NOT USE THIS COMPANY THEY ARE A SCAM.",1,No,Non-Accessibility Issues (NO)
Tomo AI chatbot is amazing!!,"Iâ€™ve recently discovered their AI chatbot functionality, which i found very intuitive to use. It really helps me understand my spending habits and build plans for higher credit scores. Love it!!",5,No,Non-Accessibility Issues (NO)
Credit Builder,This is a simple way to build credit if other options are limited.,5,No,Non-Accessibility Issues (NO)
Not going back,The credit score improvement tips from tomo have helped me raise my score significantly over time. ðŸ˜†,5,No,Non-Accessibility Issues (NO)
Very helpful app,it shows my credit score changes month over month. neat,5,No,Non-Accessibility Issues (NO)
Much improved,Kudos to Tomo for listening to customer feedback and delivering an app that meets our needs. The new updates are fantastic! ðŸ™ŒðŸ»,5,No,Non-Accessibility Issues (NO)
No benefit,Havenâ€™t seen any benefit from having this. Never received a card. They will give you a hard time canceling your membership and will continue to charge your card. Their customer service doesnâ€™t exist. Donâ€™t sign up for them. Just follow a sound financial plan to improve your credit.,1,No,Non-Accessibility Issues (NO)
Payment due on their billing cycle,I used this card once and I still have it but I doubt Iâ€™ll ever use it again. I made a order and thinkâ€™n i had a month to make my payment. I did reach out to customer support and asked why was my bill already due that I had just placed the order just a couple of days before. Also asked was the whole amount due. Yes it was which wasnâ€™t a problem as Iâ€™m trying to build my credit back up. I also was thinkâ€™n I had four weeks and the only reason Iâ€™m sure I thought that was because of the others apps almost as such as Tomo. The payment is due in full when the payment due is due. The total amount. I was told they are working on making it better. Anyway itâ€™s an okay card just make sure you have the money for what you spend. Remember itâ€™s all due at once and this make not always be like this after so many times. I didnâ€™t ask that. Read read and make sure you understand. Not a bad app at all,3,No,Non-Accessibility Issues (NO)
Con Artist and Fraudulent Company,"Didnâ€™t even get the option to get a card. I spent $129 for credit boosting and monitoring and nothing reported to my credit. Then when I reached out to them to cancel, no response. They had no problem stealing my money though. If I could give them negative stars I would.",1,No,Non-Accessibility Issues (NO)
Beware!,"There is no line of credit offered at any membership level. You will also be ignored by customer service, and there is no option to close your account in the app or on the website. Please donâ€™t get trapped.",1,No,Non-Accessibility Issues (NO)
Scam!!!Of there is a negative review,They are scam. They never reported . They will keep charging your card even when you ask them to cancel. Also they will want to bribe you free 60days because you want to cancel . Don't fall for it!!!,1,No,Non-Accessibility Issues (NO)
shameful practice to customers,"To the people that are being scammed by tomo do not let them steal your money! Take it to a lawsuit lawyer, take it to the BBB (Bed of Business Bureau) take it to someone and report them!",2,No,Non-Accessibility Issues (NO)
Fraudulent Company,"Fraud. They say the card is available for one: it is not.
 
 Two: If you sign-up for their other product TomoBoost you cannot cancel it. I have been attempting to cancel the subscription for a month, and they are still charging me for it.
 
 There's no option to cancel your subscription in a portal, you have to email customer service...and customer service never responds to emails. 
 
 Avoid!",1,No,Non-Accessibility Issues (NO)
Never respond,My husband lost his card a year ago. He never got the replacement and they never replied to the several emails sent. Useless card.,1,No,Non-Accessibility Issues (NO)
Scam,"This company is total scam, they claim they care about you and they will boost your credit while the opposite is true. 
 All their online reviews and PR is paid and they remove negative reviews.",1,No,Non-Accessibility Issues (NO)
Terrible app,Does not help you credit. Very difficult to cancel and no customer service response.,1,No,Non-Accessibility Issues (NO)
Real and pure scam,"Please please please just stay away this app is basically for stole you money , they donâ€™t have costumer service is impossible cancel just pure trash",1,No,Non-Accessibility Issues (NO)
Scammmm!!!,This app is a scam It doesnâ€™t do anything it says and it will lock you out the account for no reason,1,No,Non-Accessibility Issues (NO)
FRAUD !!!,They wonâ€™t answer you for questions ; and pause your account !! No phone answers !!,1,No,Non-Accessibility Issues (NO)
Terrible company scam artist,Terrible company scam artist wonâ€™t refund requested 3 times and did not say what they would do,1,No,Non-Accessibility Issues (NO)
Donâ€™t do it.,Canceled my card and wonâ€™t give me my money thatâ€™s on the card.,1,No,Non-Accessibility Issues (NO)
